Date,GD,ITA,LMT,NOC,RTX
2021-03-29,165.08926391601562,99.0883560180664,327.42767333984375,299.0317687988281,69.68695831298828
2021-03-30,164.0084991455078,99.7221908569336,325.45147705078125,298.5968933105469,69.8125228881836
2021-03-31,163.52210998535156,99.9814682006836,324.5381164550781,299.4852294921875,69.31913757324219
2021-04-01,162.8646697998047,100.29839324951172,325.873046875,298.189697265625,69.3281021118164
2021-04-05,167.1517333984375,101.84452819824219,332.6624450683594,305.97198486328125,69.89328002929688
2021-04-06,166.71942138671875,101.30677032470703,332.8557434082031,306.4439392089844,69.5344467163086
2021-04-07,166.43124389648438,100.82657623291016,333.92724609375,309.04425048828125,69.61515808105469
2021-04-08,166.89356994628906,101.60447692871094,339.0478515625,311.0337829589844,69.50753021240234
2021-04-09,165.8873291015625,101.59483337402344,339.2322998046875,314.5779113769531,70.23418426513672
2021-04-12,167.6459197998047,101.85415649414062,340.6551818847656,315.26263427734375,70.61992645263672
2021-04-13,165.2346649169922,101.51802062988281,340.00518798828125,313.337890625,69.70487213134766
2021-04-14,166.3224639892578,101.89254760742188,341.3753967285156,316.30828857421875,69.93814086914062
2021-04-15,166.73036193847656,101.71009826660156,343.0968933105469,318.8715515136719,69.94709777832031
2021-04-16,167.21987915039062,101.77731323242188,344.1332702636719,320.5743408203125,70.17139434814453
2021-04-19,167.50994873046875,101.08589172363281,344.0630187988281,318.9178771972656,70.50331115722656
2021-04-20,166.85726928710938,99.0883560180664,340.1983642578125,319.380615234375,69.15763854980469
2021-04-21,168.4708709716797,100.41364288330078,340.1193542480469,319.732177734375,70.75450897216797
2021-04-22,167.24705505371094,100.05830383300781,333.8394470214844,317.7981872558594,70.63788604736328
2021-04-23,169.0419158935547,101.2971420288086,331.380126953125,316.511962890625,72.25267028808594
2021-04-26,167.87257385253906,101.78691864013672,326.71630859375,312.5883483886719,72.66532897949219
2021-04-27,168.507080078125,102.25749206542969,327.8053894042969,314.5038757324219,74.2890625
2021-04-28,167.9359893798828,101.77731323242188,327.55950927734375,313.1158142089844,74.53128814697266
2021-04-29,172.87637329101562,102.45916748046875,334.0677490234375,325.9321594238281,74.3429183959961
2021-04-30,172.44126892089844,102.21908569335938,334.2522888183594,327.9864807128906,74.67483520507812
2021-05-03,173.7646942138672,102.7088623046875,338.42425537109375,334.0568542480469,75.48222351074219
2021-05-04,174.0366973876953,102.09423065185547,340.3302307128906,340.6453857421875,75.30281829833984
2021-05-05,172.84918212890625,101.0762710571289,339.35528564453125,345.15191650390625,75.47325897216797
2021-05-06,174.66213989257812,101.77731323242188,340.2072448730469,342.43133544921875,75.96666717529297
2021-05-07,176.60202026367188,103.35228729248047,342.8421325683594,342.96807861328125,76.89066314697266
2021-05-10,176.4026336669922,102.33430480957031,345.3014831542969,345.90155029296875,76.28962707519531
2021-05-11,173.62875366210938,101.181884765625,340.6287536621094,340.8120422363281,75.65269470214844
2021-05-12,169.40452575683594,98.18562316894531,334.3049621582031,336.04638671875,73.8136215209961
2021-05-13,173.40213012695312,99.73178100585938,340.5848693847656,342.4406433105469,75.1592788696289
2021-05-14,173.99134826660156,101.76770782470703,343.2286071777344,343.8749694824219,77.04318237304688
2021-05-17,173.72845458984375,101.7965087890625,343.5271911621094,345.0409240722656,77.66220092773438
2021-05-18,171.6435089111328,100.50005340576172,340.10186767578125,341.1081237792969,76.59461975097656
2021-05-19,170.89114379882812,100.01988983154297,338.62628173828125,343.218017578125,76.44212341308594
2021-05-20,171.38063049316406,101.01866149902344,341.0679016113281,344.19891357421875,76.92046356201172
2021-05-21,172.12399291992188,101.87336730957031,340.10186767578125,342.8107604980469,77.44390106201172
2021-05-24,171.8701629638672,102.95854187011719,340.5321350097656,344.4024353027344,78.04857635498047
2021-05-25,171.24464416503906,102.8528823852539,338.8985290527344,342.3758850097656,77.85003662109375
2021-05-26,171.3444061279297,103.36189270019531,337.3878479003906,339.3498840332031,78.066650390625
2021-05-27,172.84010314941406,106.20449829101562,340.2510986328125,342.8107604980469,79.97091674804688
2021-05-28,172.1511688232422,105.92601776123047,337.9609680175781,340.0042724609375,80.06117248535156
2021-06-01,171.8157958984375,107.02080535888672,337.7133483886719,339.7720031738281,80.31388854980469
2021-06-02,173.62875366210938,107.0976333618164,340.5164794921875,341.2495422363281,79.98896789550781
2021-06-03,172.9669952392578,106.57903289794922,342.5147705078125,340.5990905761719,80.03410339355469
2021-06-04,175.46893310546875,107.46253967285156,348.4834899902344,350.8214111328125,80.34095001220703
2021-06-07,173.83724975585938,107.72186279296875,346.19329833984375,345.5522155761719,80.29582977294922
2021-06-08,174.69837951660156,108.42290496826172,343.5582275390625,344.8738098144531,80.72901916503906
2021-06-09,173.92788696289062,107.06881713867188,342.02850341796875,346.258544921875,80.18753814697266
2021-06-10,173.57435607910156,106.90431213378906,342.84197998046875,346.17486572265625,79.64602661132812
2021-06-11,173.5834197998047,107.3468246459961,342.84197998046875,348.54461669921875,80.15142059326172
2021-06-14,172.99420166015625,107.0101318359375,344.0710754394531,345.9147033691406,80.07020568847656
2021-06-15,174.45362854003906,107.5680923461914,344.68115234375,348.4888610839844,80.68390655517578
2021-06-16,172.30526733398438,106.53875732421875,339.1988525390625,345.8961181640625,79.80847930908203
2021-06-17,170.1296844482422,105.1919937133789,338.5798645019531,342.63427734375,78.63521575927734
2021-06-18,167.8363037109375,104.0857162475586,335.2993469238281,341.23095703125,77.54318237304688
2021-06-21,172.9398193359375,106.6061019897461,338.2261962890625,346.8997802734375,79.42037963867188
2021-06-22,171.85202026367188,106.34638214111328,338.2084655761719,346.23065185546875,78.86083984375
2021-06-23,169.341064453125,106.03854370117188,333.65460205078125,344.1025390625,78.15689086914062
2021-06-24,170.51950073242188,107.13520050048828,334.0083312988281,343.544921875,78.38250732421875
2021-06-25,172.06051635742188,107.75086212158203,337.7929382324219,346.91827392578125,78.26517486572266
2021-06-28,171.20840454101562,105.78842163085938,336.0774841308594,344.0374755859375,76.81214904785156
2021-06-29,169.24136352539062,104.40318298339844,330.197265625,334.83740234375,76.20748138427734
2021-06-30,170.6554718017578,105.3651351928711,334.5565490722656,337.7367248535156,76.99266052246094
2021-07-01,171.5494384765625,105.8846206665039,336.2101135253906,341.63055419921875,77.81392669677734
2021-07-02,171.9964599609375,105.79804992675781,337.3330993652344,343.0988464355469,78.24713897705078
2021-07-06,170.50955200195312,104.97074127197266,334.83953857421875,341.658447265625,77.38976287841797
2021-07-07,173.1367950439453,104.87454223632812,339.0928039550781,345.0132141113281,77.46196746826172
2021-07-08,171.52210998535156,104.82644653320312,335.94488525390625,343.7866516113281,77.1099853515625
2021-07-09,173.52906799316406,106.1347427368164,338.765625,345.53375244140625,77.95833587646484
2021-07-12,172.7171630859375,105.27857971191406,335.19317626953125,344.14892578125,77.81392669677734
2021-07-13,172.17892456054688,103.62397766113281,334.1055603027344,341.4168395996094,77.01070404052734
2021-07-14,172.8357391357422,102.57543182373047,333.2036437988281,338.2107238769531,76.63166809082031
2021-07-15,172.73541259765625,102.0751953125,334.4681701660156,338.3780212402344,76.69483947753906
2021-07-16,172.6715545654297,100.9496841430664,333.48663330078125,337.1606140136719,75.38621520996094
2021-07-19,167.9369659423828,97.84249877929688,328.959228515625,329.90283203125,73.14798736572266
